OBJECTID;Id;POINT_X;POINT_Y;POINT_Z;POINT_M;RASTERVALU
68;0;854101,789100000052713;987706,588800000026822;2545,092915270000049;nan;-6,4904876
69;0;854166,789100000052713;987706,588800000026822;2606,642876920000162;nan;-6,8374772
70;0;854231,789100000052713;987706,588800000026822;2672,069782909999958;nan;-7,0253482
71;0;854296,789100000052713;987706,588800000026822;2726,488729690000127;nan;-7,2189693
72;0;854361,789100000052713;987706,588800000026822;2746,922159950000150;nan;-7,3849301
73;0;854426,789100000052713;987706,588800000026822;2744,574109010000029;nan;-7,5398932
74;0;854491,789100000052713;987706,588800000026822;2721,285298140000123;nan;-7,5898786
75;0;854556,789100000052713;987706,588800000026822;2691,731343689999903;nan;-7,6481953
76;0;854621,789100000052713;987706,588800000026822;2655,524824569999964;nan;-7,6981807
77;0;854686,789100000052713;987706,588800000026822;2625,406160449999788;nan;-7,7397370
78;0;854751,789100000052713;987706,588800000026822;2610,754833190000227;nan;-7,7696099
79;0;854816,789100000052713;987706,588800000026822;2597,649654129999817;nan;-7,8044620
80;0;854881,789100000052713;987706,588800000026822;2592,600542130000122;nan;-7,8027754
81;0;854946,789100000052713;987706,588800000026822;2574,729467279999881;nan;-7,6167097
82;0;855011,789100000052713;987706,588800000026822;2539,562469909999891;nan;-7,4572244
83;0;855076,789100000052713;987706,588800000026822;2500,625325210000028;nan;-7,2711582
84;0;855141,789100000052713;987706,588800000026822;2473,530651839999791;nan;-6,8098559
85;0;855206,789100000052713;987706,588800000026822;2476,378703750000113;nan;-6,0956092
86;0;855271,789100000052713;987706,588800000026822;2506,319848180000008;nan;-5,4833980
87;0;855336,789100000052713;987706,588800000026822;2510,959818809999888;nan;-4,7405734
88;0;855401,789100000052713;987706,588800000026822;2502,394722609999917;nan;-3,9568934
89;0;855466,789100000052713;987706,588800000026822;2504,958442050000031;nan;-3,0425999
90;0;855531,789100000052713;987706,588800000026822;2516,939119010000013;nan;-2,2589197
91;0;853646,789100000052713;987772,588800000026822;2300,911881210000047;nan;-4,3030725
92;0;853711,789100000052713;987772,588800000026822;2325,310438059999797;nan;-4,5535278
93;0;853776,789100000052713;987772,588800000026822;2356,986071629999969;nan;-4,9521813
94;0;853841,789100000052713;987772,588800000026822;2376,125462940000034;nan;-5,3090925
