X,Y,Z,azimuth,dip,polarity,formation
854298.5266,988145.9441,-253.9540448,90,64,1,Flujo_Piroclastico
855285.5834,988145.9441,-300.6313902,270,14,1,Flujo_Piroclastico
855446.5604,988145.9441,-226.7569116,270,34,1,Flujo_Piroclastico
855541.3855,988145.9441,-34.27918536,270,54,1,Flujo_Piroclastico
854890.7218,987583.9472,-254.9727133,0,66,1,Flujo_Piroclastico
854890.7218,987663.921,-416.4715722,0,46,1,Flujo_Piroclastico
854890.7218,987778.8892,-552.1081689,0,32,1,Flujo_Piroclastico
854890.7218,988382.1465,-580.5260057,180,77,1,Flujo_Piroclastico
854890.7218,988440.693,-464.5815781,180,66,1,Flujo_Piroclastico
854890.7218,988463.4518,-211.6055699,180,78,1,Flujo_Piroclastico
854890.7218,988476.5548,23.23306411,180,79,1,Flujo_Piroclastico
854890.7218,988516.8452,461.8414516,180,76,1,Flujo_Piroclastico
854890.7218,988605.3919,997.1218441,180,76,1,Flujo_Piroclastico
853618.1975,988145.9441,842.73098,90,66,1,Sucesion_Piroclastica
853703.4983,988145.9441,438.4366691,90,52,1,Sucesion_Piroclastica
853854.2088,988145.9441,34.70483101,90,59,1,Sucesion_Piroclastica
854146.5571,988145.9441,-242.5185316,90,45,1,Sucesion_Piroclastica
854307.2423,988145.9441,-567.9281728,90,65,1,Sucesion_Piroclastica
855174.0152,988145.9441,-631.0194919,270,68,1,Sucesion_Piroclastica
855375.4986,988145.9441,-552.2225318,270,12,1,Sucesion_Piroclastica
855548.9703,988145.9441,-362.8241351,270,89,1,Sucesion_Piroclastica
854890.7218,987554.6626,-580.5133526,0,54,1,Sucesion_Piroclastica
854890.7218,987665.5784,-722.622837,0,61,1,Sucesion_Piroclastica
854890.7218,987762.1766,-859.8189181,0,61,1,Sucesion_Piroclastica
854890.7218,987842.6255,-984.2827762,0,64,1,Sucesion_Piroclastica
854890.7218,988378.4019,-1092.779961,180,62,1,Sucesion_Piroclastica
854890.7218,988418.8469,-818.1828294,180,67,1,Sucesion_Piroclastica
854890.7218,988439.7042,-612.2878819,180,67,1,Sucesion_Piroclastica
854890.7218,988462.4518,-346.948838,180,67.5,1,Sucesion_Piroclastica
854890.7218,988486.1566,-39.17911722,180,66.8,1,Sucesion_Piroclastica
854890.7218,988531.9764,339.4143679,180,66.5,1,Sucesion_Piroclastica
854890.7218,988559.2437,589.5582773,180,67,1,Sucesion_Piroclastica
854890.7218,988590.7906,874.9152431,180,67.5,1,Sucesion_Piroclastica
853695.9491,988145.9441,402.2978962,90,82,1,Sucesion_Volcanica
853775.9899,988145.9441,0.923112188,90,62.4,1,Sucesion_Volcanica
854047.2937,988145.9441,-317.2108389,90,58.2,1,Sucesion_Volcanica
854236.2317,988145.9441,-658.8518596,90,77,1,Sucesion_Volcanica
855201.4573,988145.9441,-1096.665528,270,49,1,Sucesion_Volcanica
855286.5984,988145.9441,-987.1984019,270,49,1,Sucesion_Volcanica
855444.3547,988145.9441,-784.3689074,270,78,1,Sucesion_Volcanica
855554.2443,988145.9441,-583.7123718,270,41,1,Sucesion_Volcanica
854890.7218,987560.1646,-803.6019677,0,38,1,Sucesion_Volcanica
854890.7218,987650.1826,-909.8559927,0,38,1,Sucesion_Volcanica
854890.7218,987747.058,-1024.204156,0,45.6,1,Sucesion_Volcanica
854890.7218,988389.058,-1340.824747,180,67,1,Sucesion_Volcanica
854890.7218,988418.123,-1127.681314,180,72,1,Sucesion_Volcanica
854890.7218,988446.3911,-795.8707084,180,73,1,Sucesion_Volcanica
854890.7218,988475.0751,-474.7003877,180,74,1,Sucesion_Volcanica
854890.7218,988502.0604,-174.3425895,180,74,1,Sucesion_Volcanica
854890.7218,988542.6103,244.2789979,180,74,1,Sucesion_Volcanica
854890.7218,988582.1866,673.0134296,180,74.5,1,Sucesion_Volcanica
