X,Y,Z,formation
854890.7218,988522.9019,507.6990209,Flujo_Piroclastico
854890.7218,988539.2362,618.5772304,Flujo_Piroclastico
854890.7218,988565.475,785.8636339,Flujo_Piroclastico
853636.7691,988145.9441,892.6496094,Flujo_Piroclastico
853688.9463,988145.9441,657.397542,Flujo_Piroclastico
853744.169,988145.9441,460.154471,Flujo_Piroclastico
853837.5349,988145.9441,284.7395744,Flujo_Piroclastico
853934.0457,988145.9441,103.4162794,Flujo_Piroclastico
854097.2696,988145.9441,98.39400712,Flujo_Piroclastico
854227.4627,988145.9441,-37.02474945,Flujo_Piroclastico
854308.0318,988145.9441,-293.7350929,Flujo_Piroclastico
855209.2891,988145.9441,-309.3345461,Flujo_Piroclastico
855378.6736,988145.9441,-271.2344699,Flujo_Piroclastico
855488.5726,988145.9441,-176.1999204,Flujo_Piroclastico
855553.5073,988145.9441,35.2603145,Flujo_Piroclastico
854890.7218,987562.0973,-593.2620066,Sucesion_Piroclastica
854890.7218,987621.1574,-658.2950007,Sucesion_Piroclastica
854890.7218,987719.1656,-800.224678,Sucesion_Piroclastica
854890.7218,987798.6228,-909.752262,Sucesion_Piroclastica
854890.7218,987846.0772,-990.5538241,Sucesion_Piroclastica
854890.7218,988385.8369,-1059.786891,Sucesion_Piroclastica
854890.7218,988412.6921,-865.3695088,Sucesion_Piroclastica
854890.7218,988435.5484,-656.1944424,Sucesion_Piroclastica
854890.7218,988450.552,-497.6795445,Sucesion_Piroclastica
854890.7218,988472.7875,-214.0476334,Sucesion_Piroclastica
854890.7218,988491.4331,1.656308836,Sucesion_Piroclastica
854890.7218,988522.3001,245.8008532,Sucesion_Piroclastica
854890.7218,988545.1804,467.1554319,Sucesion_Piroclastica
854890.7218,988567.2142,653.7418236,Sucesion_Piroclastica
854890.7218,988585.3253,817.04701,Sucesion_Piroclastica
853651.6338,988145.9441,662.2272008,Sucesion_Piroclastica
853689.5702,988145.9441,457.4294874,Sucesion_Piroclastica
853772.1204,988145.9441,212.9539984,Sucesion_Piroclastica
853860.472,988145.9441,21.1048543,Sucesion_Piroclastica
854022.6991,988145.9441,-129.337977,Sucesion_Piroclastica
854186.9026,988145.9441,-296.2614898,Sucesion_Piroclastica
854257.0053,988145.9441,-432.0182171,Sucesion_Piroclastica
854306.7717,988145.9441,-566.0749355,Sucesion_Piroclastica
855172.1359,988145.9441,-636.1203825,Sucesion_Piroclastica
855262.8369,988145.9441,-577.473625,Sucesion_Piroclastica
855407.9629,988145.9441,-543.2948428,Sucesion_Piroclastica
855510.4473,988145.9441,-490.8765265,Sucesion_Piroclastica
855550.4381,988145.9441,-357.945197,Sucesion_Piroclastica
854890.7218,987583.9559,-831.6843913,Sucesion_Volcanica
854890.7218,987670.4909,-933.8271357,Sucesion_Volcanica
854890.7218,987747.058,-1024.204156,Sucesion_Volcanica
854890.7218,987810.7994,-1130.403177,Sucesion_Volcanica
854890.7218,988389.058,-1340.824747,Sucesion_Volcanica
854890.7218,988405.5283,-1203.250345,Sucesion_Volcanica
854890.7218,988429.1923,-1008.831702,Sucesion_Volcanica
